,Site Name,Operator (or Applicant),Technology Type,Planning Authority,Planning Application Submitted
6835,St Ippolyts - Solar Farm & Battery Storage,RNA Energy Limited,Solar Photovoltaics,North Hertfordshire,2022-03-13
6836,St Ippolyts - Solar Farm & Battery Storage,RNA Energy Limited,Battery,North Hertfordshire,2022-03-13
6868,Halstead Road Eco Hub - Solar Farm & Battery Storage,Naturalis Energy Developments Limited,Solar Photovoltaics,Tendring,2022-01-11
6869,Halstead Road Eco Hub - Solar Farm & Battery Storage,Naturalis Energy Developments Limited,Battery,Tendring,2022-01-11
6876,Slough Road - Battery Storage,Pivot Power,Battery,Buckinghamshire,2021-09-29
6882,"Manor Royal, Rowfant - Solar PV Array",Vodafone Limited,Solar Photovoltaics,Crawley,2021-10-04
6892,"Battlesbridge Bypass, Rettendon - Battery Storage",Pelagic Energy,Battery,Chelmsford,2022-02-02
6927,Moberly Sports Centre - Photovoltaic Arrays,Westminster City Council,Solar Photovoltaics,Brent,2021-10-19
6932,"North Court Farm, Chilham - Solar Farm",GSI North Court Limited,Solar Photovoltaics,Ashford,2022-10-25
6946,Callisterhall Wind Farm -  Wind Farm & Battery Storage,Epower Limited,Wind Onshore,Dumfries and Galloway,2022-07-01
6947,Langhurst Wood Road - Hydrogen Generation Facility, Biffa Waste Services,Hydrogen,Horsham,2021-10-25
6949,"Knapthorpe Grange, Caunton -  Solar Farm",Knapthorpe Solar Limited,Solar Photovoltaics,Newark and Sherwood,2022-06-01
6963,"Maggots End Road, Berden - Solar Farm & Battery Storage",Low Carbon Limited,Solar Photovoltaics,Uttlesford,2021-11-12
6964,"Maggots End Road, Berden - Solar Farm & Battery Storage",Low Carbon Limited,Battery,Uttlesford,2021-11-12
6965,Bryn Posteg Landfill Site - Solar Array & Battery Storage,Potters Waste Management,Solar Photovoltaics,Powys,2022-06-24
6976,Pound Farm Lane - Battery Storage,Green Frog Power 214 Limited,Battery,Rhondda Cynon Taf,2021-11-08
6979,Clepington Road Electric Vehicle Charging Hub,Dundee City Council,Battery,Dundee City,2021-11-11
6998,Selwood Solar Farm,Land Value Alliances & Landowners Consortium,Solar Photovoltaics,Somerset,2021-10-28
7025,Southfield Farm - Battery Storage Facility,PD503HAN Limited,Battery,Wiltshire,2022-03-23
7032,"Hockerton Road, Caunton - Solar Farm",Muskham Solar Limited,Solar Photovoltaics,Newark and Sherwood,2022-06-01
7035,Rhoscrowther - Turbine Wind Farm,Rhoscrowther Wind Farm Limited,Wind Onshore,Welsh Government (NSIP),2021-10-11
7047,Hook Street - Energy Storage Compound,Immersa,Battery,Stroud,2021-12-24
7050,"Cholderton Road, Quarley - Battery Storage",Novus Renewable Services Limited,Battery,Test Valley,2022-01-10
7085,Lethen Wind Farm  Wind Turbines and Energy Storage,Fred Olsen Renewables Ltd,Battery,Scottish Government (S36),2022-01-21
7113,Maggots End - Solar Farm,Low Carbon Limited,Solar Photovoltaics,East Hertfordshire,2021-12-17
7120,Horndale Avenue - Solar PV System,Private Developer,Solar Photovoltaics,County Durham,2021-12-13
7124,Wickham Hall Estate Solar Photovoltaic Farm,Endurance Energy Wickham Hall Limited,Solar Photovoltaics,Uttlesford,2021-11-30
7125,Wickham Hall Estate - Battery Storage,Endurance Energy Wickham Hall Limited,Battery,Uttlesford,2021-11-30
7128,"Pengarnddu Industrial Estate, Dowlais - Battery Storage",Infinite Renewables Group,Battery,Merthyr Tydfil,2021-12-06
7129,Funtley Solar Photovoltaic PV Farm,Private Developer,Solar Photovoltaics,Winchester,2021-11-18
7146,Ditchers Farm,Conrad Energy (Developments) Limited,Battery,Bolton,2021-10-18
7159,Humberstone Heights Golf Club - Solar Panels,Leicester City Council,Solar Photovoltaics,Leicester,2021-09-21
7160,Liverpool John Lennon Airport - Solar Farm,Liverpool Airport Limited,Solar Photovoltaics,Halton,2021-12-24
7187,"Canworthy House, Canworthy Water - Solar Farm",Windel Energy / Canadian Solar,Solar Photovoltaics,Cornwall,2023-06-21
7209,Meridian Leisure Park - Solar Photovoltaics Array,Hollywood Bowl Group,Solar Photovoltaics,Blaby,2022-01-21
7211,Botley - Solar Photovoltaic Array,Red House Solar Limited,Solar Photovoltaics,Vale of White Horse,2023-11-27
7213,Wythenshawe Hospital - Solar Array,South Manchester University Hospital NHS Trust,Solar Photovoltaics,Manchester,2022-01-11
7231,"Lower Claverham Farm & Mount Pleasant Farm, Berwick - Solar Farm",Scottish Power Renewables,Solar Photovoltaics,Wealden,2022-01-19
7283,Avenue Power - Urban Reserve Flexible Energy Facility,AMP Energy Services Limited,Battery,Central Bedfordshire,2022-01-11
7287,"Vigo Lane, Borden - Solar Farm",Industria Solar Vigo (Industria Brand Energy),Solar Photovoltaics,Swale,2023-05-05
7291,East Croftmore - Battery Energy Storage ,Whirlwind Energy Storage Limited,Battery,Highland,2022-02-15
7310,"Mucknell Farm Lane, Stoulton - Solar Farm",Mucknell Abbey,Solar Photovoltaics,Wychavon,2022-10-31
7332,"Churchill China Uk Limited, Marlborough Way, Sandyford - Solar Panels",Churchill China (UK) Plc,Solar Photovoltaics,Stoke-on-Trent,2022-01-23
7352,"Maritime Way, Gillingham -  Solar Panels",WD Chatham Limited,Solar Photovoltaics,Medway,2022-02-28
7374,Stoughton - Ground Mounted Solar Panels,Portsmouth Water,Solar Photovoltaics,Chichester,2022-03-03
7379,Began Road - Ground Mounted Solar Pv array,Haygrove Limited,Solar Photovoltaics,Newport,2022-02-22
7432,Westhoughton - Roof mounted Solar panels,Private Developer,Solar Photovoltaics,Bolton,2022-03-16
7437,North Inches - Solar Photovoltaic Electricity Generation,Private Developer,Solar Photovoltaics,Falkirk,2022-03-17
7451,Woodlands Farm - Solar Array,Elgin Energy EsCo Limited,Solar Photovoltaics,Breckland,2022-03-23
7482,"Brogborough Landfill, Lidlington - Solar PV park",Infinis Solar Developments Limited,Solar Photovoltaics,Central Bedfordshire,2022-03-03
7487," Rutherford Appleton Laboratory, Building R8 & R9, Harwell - Solar Panels",Science & Technology Facilities Council,Solar Photovoltaics,Vale of White Horse,2022-03-30
7488,"Rutherford Appleton Laboratory, Building R40, Harwell - Solar Panels",Science and Technology Facilities Council,Solar Photovoltaics,Vale of White Horse,2022-03-30
7489,"Rutherford Appleton Laboratory, Building R1, Harwell - Solar Panels",Science and Technology Facilities Council,Solar Photovoltaics,Vale of White Horse,2022-03-30
7505," Rutherford Appleton Laboratory, Building R105 & R106, Harwell - Solar Panel",Science and Technology Facilities Council,Solar Photovoltaics,Vale of White Horse,2022-03-30
7506,"Rutherford Appleton Laboratory, Buildings R25, R61 & R68, Harwell - Solar Panels",Science & Technology Facilities Council,Solar Photovoltaics,Vale of White Horse,2022-03-30
7509,Alfreton Solar Farm,Kronos Solar,Battery,North East Derbyshire,2020-12-21
7516,Longhedge Solar Farm,Renewable Energy Systems,Solar Photovoltaics,Rushcliffe,2022-12-02
7556,"Europa Way, Units F1 & F2 - Solar panels",Amr Textiles Limited,Solar Photovoltaics,Bolton,2022-02-09
7593,"Barley Mow Farm, Evenley - Anaerobic Digestion Facility",Acorn Bioenergy Limited,Anaerobic Digestion,West Northamptonshire,2023-08-03
7615,Armadale Wind Farm,Brookfield Renewable UK,Battery,Scottish Government (S36),2022-03-22
7618,Factory Extension in Armagh,Greencircle Renewables Ltd,Anaerobic Digestion,"Armagh City, Banbridge and Craigavon",2022-01-14
7624,Anaerobic Digestion Plant Extension,United Renewables Limited,Anaerobic Digestion,Lisburn and Castlereagh,2021-05-11
7643,Hereford Cathedral School - Dining Hall & Boarding House,Hereford Cathedral School,Biomass (dedicated),"Herefordshire, County of",2020-08-26
7659,Hillend Of Lownie - Forfar Solar farm,Industria Resources Llp,Solar Photovoltaics,Angus,2023-06-05
7677,Derril Water Solar Farm - Solar Farm,Renewable Energy System Limited,Solar Photovoltaics,Torridge,2022-05-09
7681,Long Sutton - Renewable Energy Building,SCHSE Limited,Solar Photovoltaics,Somerset,2022-05-02
7765,"Torr Leathann, Ardross - Wind Farm ",Energiekontor,Wind Onshore,Highland,2022-06-06
7766,"Torr Leathann, Ardross - Battery Storage",Energiekontor,Battery,Highland,2022-06-06
7783,Murrells End Farm - Solar Arrays,Elgin Energy EsCo Limited,Solar Photovoltaics,Forest of Dean,2022-06-01
7791,Cargo Fleet Lane - Solar Array,SCS Lighting & Renewables,Solar Photovoltaics,Middlesbrough,2022-06-07
7828,Hilfield - Solar arrays & Battery storage,Elstree Green Limited,Solar Photovoltaics,Hertsmere,2022-05-31
7829,Hilfield - Solar arrays & Battery storage,Elstree Green Limited,Battery,Hertsmere,2022-05-31
7859,Bishampton Solar Farm,Infinis,Battery,Wychavon,2020-10-13
7871,Arlingham Solar Farm - Solar PV Panels & Battery Storage Facility,Kronos Solar,Battery,Stroud,2022-06-30
7921,Bryn Posteg Landfill Site - Solar Array & Battery Storage,Potters Waste Management,Battery,Powys,2022-06-24
7946,Rothesay Dock Plastic to Hydrogen Recycling Facility,The Peel Group,Hydrogen,West Dunbartonshire,2021-08-10
7974,"Stonehill, Minety",Penso Power Limited,Battery,Wiltshire,2022-07-20
8010,Whites Farm - Battery Storage,Anglo Renewables Limited,Battery,Basildon,2022-07-29
8047,"Banner Hill Farm, Banner Hill & Rouncil Lane - Battery Storage",Flexion Energy Storage UK Limited,Battery,Warwick,2022-08-05
8053,Callisterhall Wind Farm -  Wind Farm & Battery Storage,Epower Limited,Battery,Dumfries and Galloway,2022-07-01
8072,"Unit 1, Mallory Way, Longford - Solar Panels",Legal & General Invt Management,Solar Photovoltaics,Nuneaton and Bedworth,2022-08-02
8165,Gremista Greener Grid Park Stabilisation Facility,Statkraft Wind UK Limited,Battery,Shetland Islands,2023-02-10
8182,"Healeys, Cyder Farm - Solar Photovoltaic Array",Healeys Cornish Cyder Farm,Solar Photovoltaics,Cornwall,2023-04-24
8187,Feldon Vale Solar Farm,Low Carbon,Solar Photovoltaics,Stratford-on-Avon,2022-09-09
8206,"Danbury Outdoors, Well Lane - Solar Array",Essex County Council,Solar Photovoltaics,Chelmsford,2022-09-13
8227,"Sewage Works, Southampton Road - Solar Farm",Communities for Renewables CIC,Solar Photovoltaics,Wiltshire,2023-08-23
8269,"South Devon College, Spots Hall - Solar Panels",South Devon College,Solar Photovoltaics,Torbay,2022-09-26
8273,Berrington Farm - Solar Array,Econergy International Limited,Solar Photovoltaics,Shropshire,2022-09-27
8291,"Garcrogo Hill And Barmark Hill, Corsock - Wind Farm & Battery Storage",EnergieKontor,Wind Onshore,Dumfries and Galloway,2022-09-16
